날짜,제품코드,평균가격,제품명
20250530,D047,1496.1,자동차경유
20250531,D047,1494.79,자동차경유
20250601,D047,1494.07,자동차경유
20250602,D047,1494.22,자동차경유
20250603,D047,1493.42,자동차경유
20250604,D047,1493.31,자동차경유
20250605,D047,1492.5,자동차경유
20250606,D047,1491.84,자동차경유
20250607,D047,1491.25,자동차경유
20250608,D047,1490.8,자동차경유
20250609,D047,1491.3,자동차경유
20250610,D047,1490.84,자동차경유
20250611,D047,1490.16,자동차경유
20250612,D047,1489.89,자동차경유
20250613,D047,1490.7,자동차경유
20250614,D047,1491.9,자동차경유
20250615,D047,1492.56,자동차경유
20250616,D047,1495.35,자동차경유
20250617,D047,1498.09,자동차경유
20250618,D047,1500.45,자동차경유
20250619,D047,1504.35,자동차경유
20250620,D047,1508.95,자동차경유
20250621,D047,1513.6,자동차경유
20250622,D047,1516.37,자동차경유
20250623,D047,1524.38,자동차경유
20250624,D047,1531.11,자동차경유
20250625,D047,1532.03,자동차경유
20250626,D047,1532.19,자동차경유
20250627,D047,1532.2,자동차경유
20250628,D047,1531.72,자동차경유
20250629,D047,1531.57,자동차경유
20250630,D047,1531.97,자동차경유
20250701,D047,1531.55,자동차경유
20250702,D047,1531.21,자동차경유
20250703,D047,1530.8,자동차경유
20250704,D047,1530.76,자동차경유
20250705,D047,1530.16,자동차경유
20250706,D047,1529.93,자동차경유
20250707,D047,1530.48,자동차경유
20250708,D047,1530.29,자동차경유
20250709,D047,1530.26,자동차경유
20250710,D047,1530.24,자동차경유
20250711,D047,1530.5,자동차경유
20250712,D047,1530.18,자동차경유
20250713,D047,1530.16,자동차경유
20250714,D047,1531.1,자동차경유
20250715,D047,1531.18,자동차경유
20250716,D047,1530.98,자동차경유
20250717,D047,1531.02,자동차경유
20250718,D047,1530.97,자동차경유
20250719,D047,1530.29,자동차경유
20250720,D047,1530.66,자동차경유
20250721,D047,1531.5,자동차경유
20250722,D047,1531.83,자동차경유
20250723,D047,1532.22,자동차경유
20250724,D047,1532.65,자동차경유
20250725,D047,1533.13,자동차경유
20250726,D047,1532.91,자동차경유
20250727,D047,1532.87,자동차경유
20250728,D047,1533.98,자동차경유
20250729,D047,1534.26,자동차경유
20250730,D047,1534.77,자동차경유
20250731,D047,1535.2,자동차경유
20250801,D047,1536.27,자동차경유
20250802,D047,1536.74,자동차경유
20250803,D047,1537.06,자동차경유
20250804,D047,1537.87,자동차경유
20250805,D047,1538.72,자동차경유
20250806,D047,1538.92,자동차경유
20250807,D047,1539.0,자동차경유
20250808,D047,1539.06,자동차경유
20250809,D047,1538.57,자동차경유
20250810,D047,1538.33,자동차경유
20250811,D047,1538.79,자동차경유
20250812,D047,1538.3,자동차경유
20250813,D047,1537.92,자동차경유
20250814,D047,1537.6,자동차경유
20250815,D047,1536.98,자동차경유
20250816,D047,1536.27,자동차경유
20250817,D047,1536.22,자동차경유
20250818,D047,1536.47,자동차경유
20250819,D047,1535.67,자동차경유
20250820,D047,1534.88,자동차경유
20250821,D047,1534.22,자동차경유
20250822,D047,1533.75,자동차경유
20250823,D047,1532.86,자동차경유
20250824,D047,1532.46,자동차경유
20250825,D047,1533.11,자동차경유
20250826,D047,1532.93,자동차경유
20250827,D047,1532.71,자동차경유
20250828,D047,1532.27,자동차경유
20250829,D047,1531.93,자동차경유
20250830,D047,1531.21,자동차경유
20250831,D047,1530.94,자동차경유
20250901,D047,1531.28,자동차경유
20250902,D047,1530.9,자동차경유
20250903,D047,1530.58,자동차경유
20250904,D047,1530.49,자동차경유
20250905,D047,1530.28,자동차경유
20250906,D047,1529.66,자동차경유
20250907,D047,1529.49,자동차경유
20250908,D047,1530.21,자동차경유
20250909,D047,1530.41,자동차경유
20250910,D047,1530.43,자동차경유
20250911,D047,1530.37,자동차경유
20250912,D047,1530.33,자동차경유
20250913,D047,1529.58,자동차경유
20250914,D047,1529.47,자동차경유
20250915,D047,1530.15,자동차경유
20250916,D047,1530.04,자동차경유
20250917,D047,1530.27,자동차경유
20250918,D047,1530.5,자동차경유
20250919,D047,1530.89,자동차경유
20250920,D047,1530.31,자동차경유
20250921,D047,1530.33,자동차경유
20250922,D047,1531.12,자동차경유
20250923,D047,1531.15,자동차경유
20250924,D047,1531.04,자동차경유
20250925,D047,1531.09,자동차경유
20250926,D047,1531.53,자동차경유
20250927,D047,1531.2,자동차경유
20250928,D047,1531.29,자동차경유
20250929,D047,1532.46,자동차경유
20250930,D047,1533.12,자동차경유
20251001,D047,1533.87,자동차경유
20251002,D047,1534.49,자동차경유
20251003,D047,1534.97,자동차경유
20251004,D047,1535.06,자동차경유
20251005,D047,1535.2,자동차경유
20251006,D047,1535.77,자동차경유
20251007,D047,1535.9,자동차경유
20251008,D047,1535.82,자동차경유
20251009,D047,1535.36,자동차경유
20251010,D047,1536.25,자동차경유
20251011,D047,1535.68,자동차경유
20251012,D047,1535.48,자동차경유
20251013,D047,1536.3,자동차경유
20251014,D047,1535.86,자동차경유
20251015,D047,1535.67,자동차경유
20251016,D047,1535.58,자동차경유
20251017,D047,1535.35,자동차경유
20251018,D047,1534.52,자동차경유
20251019,D047,1534.3,자동차경유
20251020,D047,1534.9,자동차경유
20251021,D047,1534.86,자동차경유
20251022,D047,1534.8,자동차경유
20251023,D047,1534.87,자동차경유
20251024,D047,1535.7,자동차경유
20251025,D047,1536.22,자동차경유
20251026,D047,1536.89,자동차경유
20251027,D047,1539.56,자동차경유
20251028,D047,1541.65,자동차경유
20251029,D047,1543.9,자동차경유
20251030,D047,1546.61,자동차경유
20251031,D047,1549.94,자동차경유
20251101,D047,1557.17,자동차경유
20251102,D047,1559.77,자동차경유
20251103,D047,1563.8,자동차경유
20251104,D047,1568.31,자동차경유
20251105,D047,1572.62,자동차경유
